district,area,perch,bedrooms,bathrooms,kitchen_area_sqft,parking_spots,has_garden,has_ac,water_supply,electricity,floors,year_built,price_lkr
Kandy,Kandy City,4,2,2,40,3,TRUE,TRUE,Pipe-borne,Single phase,1,2013,8959184
Anuradhapura,Nuwaragam Palatha,2,2,1,35,0,FALSE,FALSE,Pipe-borne,Three phase,1,2019,3820782
Trincomalee,Uppuveli,10,2,2,167,1,FALSE,FALSE,Both,Single phase,2,1995,12705293
Gampaha,Gampaha Town,14,7,5,114,2,TRUE,TRUE,Both,Single phase,2,1997,28228646
Mullaitivu,Mullaitivu Central,18,6,5,198,3,TRUE,TRUE,Pipe-borne,Three phase,3,1997,19824059
Kandy,Kandy City,20,7,5,250,1,FALSE,TRUE,Both,Three phase,2,2020,54162750
Vavuniya,Vavuniya Central,5,1,1,49,0,FALSE,TRUE,Well,Three phase,2,2003,5222212
Vavuniya,Vavuniya Central,9,4,4,68,0,TRUE,FALSE,Pipe-borne,Three phase,2,2006,7889488
Colombo,Wellawatte,6,4,3,73,0,TRUE,TRUE,Pipe-borne,Three phase,2,2018,18529601
Batticaloa,Eravur,3,2,2,39,1,FALSE,TRUE,Both,Three phase,2,2012,5070758
Nuwara Eliya,Nuwara Eliya Central,7,4,3,72,2,TRUE,TRUE,Both,Three phase,2,2009,20726324
Kegalle,Kegalle Central,15,6,5,131,2,TRUE,FALSE,Well,Single phase,1,2020,14750535
Colombo,Borella,13,4,3,157,1,FALSE,FALSE,Pipe-borne,Single phase,2,1995,38194982
Mullaitivu,Mullaitivu Central,4,2,2,72,1,TRUE,TRUE,Pipe-borne,Three phase,1,1986,3939068
Matara,Weligama,3,3,2,44,1,FALSE,FALSE,Well,Single phase,1,1993,4573964
Matara,Weligama,13,4,4,109,3,TRUE,FALSE,Both,Three phase,1,2025,16206965
Kurunegala,Melsiripura,27,7,5,250,3,TRUE,TRUE,Well,Three phase,3,1990,31889939
Batticaloa,Batticaloa Town,15,6,5,156,2,TRUE,TRUE,Both,Three phase,2,2004,23175062
Anuradhapura,Madawachchiya,13,7,5,140,3,TRUE,TRUE,Pipe-borne,Three phase,1,2002,19200115
Ratnapura,Kuruwita,5,1,1,35,1,TRUE,FALSE,Well,Three phase,1,1998,4255348
Ampara,Ampara Central,12,3,3,107,1,TRUE,TRUE,Well,Three phase,1,1998,10214783
Hambantota,Tangalle,13,6,5,122,1,FALSE,TRUE,Both,Single phase,1,1996,14241930
Matale,Matale Central,23,6,5,157,3,TRUE,FALSE,Well,Single phase,1,1989,21234026
Mullaitivu,Mullaitivu Central,28,4,3,250,2,TRUE,TRUE,Pipe-borne,Three phase,3,1992,21437675
Galle,Unawatuna,33,7,5,250,2,FALSE,FALSE,Both,Single phase,3,2024,54727450
Vavuniya,Vavuniya Central,11,5,4,112,1,FALSE,FALSE,Pipe-borne,Three phase,2,1997,9971425
Mullaitivu,Mullaitivu Central,13,6,5,142,2,FALSE,TRUE,Pipe-borne,Three phase,1,1991,11380190
Colombo,Bambalapitiya,2,1,1,35,0,TRUE,TRUE,Both,Three phase,1,1998,8617400
Nuwara Eliya,Nuwara Eliya Central,7,2,1,65,0,FALSE,TRUE,Both,Single phase,1,1999,13941571
Puttalam,Puttalam Central,19,6,5,153,3,TRUE,FALSE,Pipe-borne,Single phase,1,2003,16678142
Nuwara Eliya,Nuwara Eliya Central,4,2,1,65,1,TRUE,TRUE,Pipe-borne,Single phase,1,1995,9937307
Kilinochchi,Kilinochchi Central,14,5,5,144,1,FALSE,TRUE,Pipe-borne,Three phase,1,1997,13465608
Hambantota,Hambantota Town,13,4,4,200,1,TRUE,FALSE,Both,Single phase,2,2008,16032195
Matara,Matara Town,12,7,5,127,1,TRUE,TRUE,Both,Single phase,1,1999,15335049
Matara,Weligama,17,7,5,145,1,FALSE,TRUE,Both,Single phase,1,2008,19809489
Matale,Matale Central,28,5,4,187,2,FALSE,TRUE,Both,Single phase,2,2005,29069378
Monaragala,Monaragala Central,16,5,5,139,1,FALSE,TRUE,Well,Single phase,1,1989,16152548
Jaffna,Nallur,2,4,3,35,2,TRUE,TRUE,Pipe-borne,Three phase,2,1989,6000083
Monaragala,Monaragala Central,3,3,3,35,1,TRUE,TRUE,Both,Single phase,1,2007,2787987
Monaragala,Monaragala Central,14,7,5,172,3,TRUE,FALSE,Both,Single phase,3,2022,19925425
Gampaha,Ragama,15,6,5,166,1,FALSE,FALSE,Both,Three phase,2,2009,28232403
Trincomalee,China Bay,2,2,2,35,0,TRUE,FALSE,Pipe-borne,Three phase,2,1999,3497885
Mullaitivu,Mullaitivu Central,14,3,2,164,1,FALSE,FALSE,Pipe-borne,Single phase,1,2003,11886033
Nuwara Eliya,Nuwara Eliya Central,6,3,2,79,0,TRUE,FALSE,Both,Three phase,2,1991,10127044
Mullaitivu,Mullaitivu Central,10,2,2,119,0,TRUE,FALSE,Well,Single phase,1,2019,8948886
Batticaloa,Kallady,17,6,5,110,1,FALSE,TRUE,Both,Three phase,1,2023,17175011
Colombo,Rajagiriya,20,5,5,195,1,TRUE,TRUE,Well,Three phase,2,2018,72207437
Mannar,Mannar Central,6,4,4,79,1,FALSE,FALSE,Both,Three phase,1,2013,8156350
Colombo,Narahenpita,5,1,1,39,1,FALSE,TRUE,Well,Single phase,1,1985,11189220
Mullaitivu,Mullaitivu Central,15,6,5,142,3,TRUE,FALSE,Well,Three phase,1,2016,13730466
Monaragala,Monaragala Central,4,1,1,57,0,TRUE,TRUE,Well,Single phase,1,2025,4679201
Matara,Nupe,19,7,5,250,2,TRUE,FALSE,Pipe-borne,Three phase,2,1993,28395230
Kurunegala,Pannala,3,2,1,35,1,FALSE,FALSE,Both,Three phase,2,1996,3803657
Monaragala,Monaragala Central,28,7,5,231,3,TRUE,TRUE,Pipe-borne,Single phase,2,1999,29102928
Ratnapura,Ratnapura Town,9,5,5,93,0,TRUE,TRUE,Both,Single phase,2,2009,10838488
Galle,Unawatuna,9,3,3,60,1,FALSE,TRUE,Both,Three phase,1,2025,15059946
Galle,Karapitiya,10,5,5,134,1,TRUE,TRUE,Well,Three phase,2,1988,20220976
Monaragala,Monaragala Central,26,4,4,207,2,FALSE,TRUE,Well,Three phase,2,2000,23341835
Matale,Matale Central,5,2,1,57,0,FALSE,FALSE,Well,Three phase,1,2022,6071903
Ampara,Ampara Central,13,4,3,102,3,TRUE,FALSE,Well,Three phase,2,2004,11076447
Kandy,Peradeniya,7,5,4,88,0,TRUE,TRUE,Well,Single phase,1,1990,11605766
Matale,Matale Central,8,4,3,73,0,TRUE,FALSE,Well,Single phase,1,2019,10183424
Kegalle,Kegalle Central,14,6,5,184,1,TRUE,TRUE,Both,Single phase,2,2012,20264481
Vavuniya,Vavuniya Central,2,1,1,35,1,TRUE,TRUE,Pipe-borne,Three phase,1,2011,4189741
Puttalam,Puttalam Central,14,5,4,160,2,FALSE,TRUE,Both,Single phase,1,2008,16886070
Polonnaruwa,Polonnaruwa Central,28,6,5,250,1,TRUE,FALSE,Well,Single phase,2,2001,22995994
Nuwara Eliya,Nuwara Eliya Central,21,5,4,250,2,TRUE,FALSE,Pipe-borne,Three phase,3,2022,59454696
Anuradhapura,Nuwaragam Palatha,4,3,2,35,3,TRUE,FALSE,Well,Three phase,1,2010,5203154
Jaffna,Jaffna Town,5,3,2,42,0,TRUE,TRUE,Well,Three phase,1,1995,7441345
Puttalam,Puttalam Central,5,3,2,75,1,FALSE,FALSE,Both,Single phase,1,1991,7106870
Matale,Matale Central,11,6,5,86,3,FALSE,TRUE,Well,Single phase,1,1985,15105766
Jaffna,Chunnakam,25,6,5,180,2,FALSE,FALSE,Pipe-borne,Three phase,2,1989,25853464
Vavuniya,Vavuniya Central,8,3,2,78,2,TRUE,TRUE,Pipe-borne,Three phase,1,2010,7857392
Anuradhapura,New Town,4,3,3,55,1,FALSE,FALSE,Both,Three phase,2,2004,3412923
Hambantota,Hambantota Town,14,5,5,105,1,TRUE,FALSE,Both,Single phase,2,1998,11733385
Hambantota,Ambalantota,16,4,3,129,1,TRUE,FALSE,Well,Three phase,1,2004,15132719
Polonnaruwa,Polonnaruwa Central,5,3,3,83,1,FALSE,FALSE,Well,Three phase,2,2003,5820124
Ampara,Ampara Central,32,4,3,250,1,FALSE,TRUE,Pipe-borne,Three phase,3,1988,36138132
Badulla,Badulla Town,14,7,5,149,2,TRUE,TRUE,Pipe-borne,Three phase,2,2017,19409828
Ampara,Ampara Central,3,2,1,35,2,TRUE,TRUE,Pipe-borne,Single phase,1,1996,4723566
Kalutara,Wadduwa,10,4,3,112,0,TRUE,TRUE,Well,Three phase,1,1992,14884350
Colombo,Narahenpita,2,1,1,73,2,FALSE,FALSE,Well,Single phase,1,2017,9734191
Mannar,Mannar Central,14,7,5,137,1,TRUE,FALSE,Well,Single phase,1,2025,14089763
Kurunegala,Melsiripura,9,3,2,94,1,FALSE,TRUE,Pipe-borne,Three phase,2,2010,12682940
Colombo,Mount Lavinia,11,4,3,71,0,TRUE,FALSE,Pipe-borne,Single phase,1,2017,28722717
Mullaitivu,Mullaitivu Central,6,4,4,80,0,TRUE,TRUE,Well,Three phase,2,1987,6607382
Polonnaruwa,Polonnaruwa Central,3,2,1,76,0,TRUE,FALSE,Both,Three phase,1,2015,3639217
Monaragala,Monaragala Central,8,2,1,73,1,TRUE,FALSE,Pipe-borne,Three phase,2,1999,5733047
Batticaloa,Batticaloa Town,8,3,2,90,0,FALSE,FALSE,Well,Single phase,1,2003,8560224
Hambantota,Tangalle,2,3,2,50,0,TRUE,FALSE,Both,Three phase,1,1985,3211142
Jaffna,Chunnakam,10,4,3,78,0,TRUE,TRUE,Both,Three phase,1,2014,15444721
Batticaloa,Batticaloa Town,2,1,1,35,1,TRUE,FALSE,Pipe-borne,Three phase,1,2006,3289925
Kilinochchi,Kilinochchi Central,30,7,5,250,1,TRUE,TRUE,Well,Three phase,3,2005,30832574
Kegalle,Kegalle Central,19,4,3,176,3,FALSE,TRUE,Both,Three phase,2,2005,28258198
Vavuniya,Vavuniya Central,14,6,5,146,1,FALSE,FALSE,Both,Single phase,2,1989,12682869
Gampaha,Ja-Ela,9,2,1,91,0,TRUE,FALSE,Both,Three phase,1,1999,19128573
Batticaloa,Kallady,24,5,4,250,2,FALSE,TRUE,Pipe-borne,Single phase,2,2001,27731721
Matale,Matale Central,5,1,1,80,2,FALSE,FALSE,Well,Single phase,1,2005,7673668
Hambantota,Tangalle,4,1,1,70,0,TRUE,FALSE,Pipe-borne,Single phase,1,2009,4527902
Badulla,Hali Ela,14,6,5,125,1,FALSE,TRUE,Pipe-borne,Three phase,1,1995,11427728
Gampaha,Kadawatha,2,2,1,35,0,TRUE,TRUE,Both,Three phase,1,2018,6091961
Ratnapura,Ratnapura Town,8,4,3,90,2,FALSE,TRUE,Well,Single phase,2,2001,10991340
Nuwara Eliya,Nuwara Eliya Central,23,6,5,219,1,TRUE,TRUE,Well,Three phase,2,1988,55605121
Jaffna,Chunnakam,9,2,1,92,0,FALSE,TRUE,Well,Single phase,1,1992,12103011
Mullaitivu,Mullaitivu Central,4,3,2,35,2,FALSE,TRUE,Well,Three phase,2,1996,3888618
Badulla,Badulla Town,10,3,3,110,1,TRUE,TRUE,Both,Single phase,2,1988,12473117
Batticaloa,Batticaloa Town,11,4,3,102,0,TRUE,TRUE,Pipe-borne,Single phase,2,1998,10857382
Jaffna,Kokuvil,7,3,2,98,2,FALSE,TRUE,Pipe-borne,Three phase,1,1993,11852343
Mullaitivu,Mullaitivu Central,4,3,2,50,0,TRUE,TRUE,Pipe-borne,Single phase,1,1994,3144294
Ampara,Ampara Central,3,3,3,35,1,FALSE,FALSE,Both,Three phase,2,2010,4163462
Jaffna,Chunnakam,16,7,5,116,1,TRUE,TRUE,Both,Three phase,2,2017,20846266
Colombo,Borella,19,7,5,208,3,TRUE,TRUE,Both,Three phase,3,1988,66861963
Kegalle,Kegalle Central,11,5,4,130,0,TRUE,FALSE,Pipe-borne,Single phase,2,1995,11337468
Galle,Karapitiya,3,1,1,41,0,FALSE,TRUE,Both,Single phase,2,2015,5959755
Kandy,Peradeniya,15,6,5,194,1,TRUE,TRUE,Pipe-borne,Single phase,2,1995,33153221
Mannar,Mannar Central,20,5,5,250,2,TRUE,FALSE,Pipe-borne,Three phase,2,1987,21789279
Mullaitivu,Mullaitivu Central,13,5,5,80,1,FALSE,TRUE,Both,Three phase,2,2002,9386220
Trincomalee,Nilaveli,13,5,4,117,2,TRUE,FALSE,Pipe-borne,Three phase,2,2006,17824818
Ratnapura,Kuruwita,14,6,5,178,2,TRUE,FALSE,Pipe-borne,Single phase,2,1997,20714673
Kegalle,Kegalle Central,9,4,3,101,0,FALSE,FALSE,Both,Three phase,1,2013,9897814
Mannar,Mannar Central,3,3,3,35,0,TRUE,TRUE,Well,Three phase,2,2018,3234377
Kandy,Gatambe,29,5,4,250,1,FALSE,FALSE,Both,Three phase,2,1989,50510702
Vavuniya,Vavuniya Central,7,1,1,68,0,TRUE,TRUE,Well,Three phase,2,1999,6274194
Anuradhapura,Madawachchiya,5,3,2,47,1,FALSE,TRUE,Both,Single phase,1,1990,6828687
Kalutara,Beruwala,5,1,1,46,2,TRUE,TRUE,Pipe-borne,Three phase,1,2009,6006857
Matale,Matale Central,7,2,1,61,0,TRUE,FALSE,Pipe-borne,Three phase,1,1994,6822385
Kandy,Katugastota,2,2,1,38,0,FALSE,FALSE,Well,Three phase,1,2009,6029361
Mannar,Mannar Central,3,2,1,35,0,TRUE,TRUE,Both,Single phase,1,1990,3996394
Polonnaruwa,Polonnaruwa Central,13,6,5,142,1,FALSE,FALSE,Both,Three phase,2,2002,17307585
Gampaha,Gampaha Town,12,4,4,88,1,TRUE,FALSE,Pipe-borne,Three phase,2,1989,19778148
Mannar,Mannar Central,14,5,4,88,3,FALSE,FALSE,Pipe-borne,Three phase,2,2000,11177599
Vavuniya,Vavuniya Central,5,2,1,42,1,FALSE,FALSE,Well,Three phase,1,2017,4680383
Badulla,Badulla Town,3,3,2,62,1,TRUE,FALSE,Both,Single phase,1,2004,4581464
Kilinochchi,Kilinochchi Central,12,5,4,117,1,TRUE,TRUE,Both,Single phase,1,1987,9404827
Kegalle,Kegalle Central,4,1,1,43,0,FALSE,FALSE,Well,Three phase,1,1986,3696865
Anuradhapura,New Town,22,7,5,204,2,TRUE,FALSE,Well,Single phase,3,2006,20241392
Hambantota,Hambantota Town,15,7,5,178,3,FALSE,FALSE,Well,Single phase,2,2016,21368204
Mannar,Mannar Central,4,2,2,35,1,FALSE,FALSE,Well,Single phase,1,2025,3723085
Gampaha,Ja-Ela,13,6,5,92,1,TRUE,FALSE,Both,Single phase,2,2017,17978991
Kalutara,Beruwala,14,6,5,134,2,TRUE,TRUE,Pipe-borne,Single phase,1,1993,20171762
Trincomalee,Uppuveli,18,6,5,116,3,TRUE,TRUE,Well,Three phase,1,1999,21373209
Polonnaruwa,Polonnaruwa Central,6,1,1,61,1,FALSE,FALSE,Pipe-borne,Three phase,2,1985,5162724
Badulla,Badulla Town,26,6,5,250,2,FALSE,FALSE,Pipe-borne,Single phase,2,2007,37075368
Kilinochchi,Kilinochchi Central,6,3,3,46,0,TRUE,FALSE,Pipe-borne,Three phase,1,1990,4994547
Anuradhapura,Madawachchiya,13,5,5,164,2,FALSE,TRUE,Both,Three phase,1,2007,19882049
Monaragala,Monaragala Central,10,5,4,91,2,FALSE,FALSE,Both,Single phase,1,2018,10437470
Batticaloa,Kallady,2,1,1,35,0,TRUE,FALSE,Pipe-borne,Three phase,1,1985,3593881
Ratnapura,Ratnapura Town,39,7,5,250,1,FALSE,FALSE,Pipe-borne,Three phase,2,1997,45754906
Matale,Matale Central,10,2,1,125,1,FALSE,TRUE,Well,Single phase,2,2009,15358180
Kandy,Kandy City,8,5,4,63,1,TRUE,TRUE,Both,Single phase,1,1995,11231857
Kurunegala,Pannala,8,4,4,47,0,FALSE,FALSE,Pipe-borne,Three phase,1,2013,7048980
Kegalle,Kegalle Central,5,1,1,73,2,TRUE,FALSE,Both,Single phase,1,1993,6165921
Anuradhapura,Nuwaragam Palatha,12,6,5,142,1,TRUE,FALSE,Both,Single phase,1,2013,15392966
Badulla,Bandarawela,3,1,1,58,2,TRUE,FALSE,Well,Three phase,1,1995,3731585
Mannar,Mannar Central,3,1,1,35,0,FALSE,TRUE,Both,Single phase,1,2010,3859175
Kurunegala,Kurunegala Town,27,4,4,250,2,TRUE,FALSE,Both,Three phase,2,1991,35984784
Nuwara Eliya,Nuwara Eliya Central,14,6,5,86,1,TRUE,TRUE,Pipe-borne,Three phase,1,1990,27788860
Colombo,Dehiwala,13,6,5,128,2,FALSE,TRUE,Both,Three phase,1,1992,35898817
Matale,Matale Central,17,7,5,140,1,TRUE,TRUE,Both,Single phase,1,1995,15267573
Mullaitivu,Mullaitivu Central,3,3,2,35,0,TRUE,TRUE,Pipe-borne,Three phase,2,2013,3418150
Kilinochchi,Kilinochchi Central,4,4,3,51,1,FALSE,FALSE,Well,Single phase,2,1988,4662878
Gampaha,Gampaha Town,10,5,5,95,0,FALSE,FALSE,Pipe-borne,Three phase,1,1994,15662144
Anuradhapura,Nuwaragam Palatha,7,4,3,86,0,FALSE,TRUE,Well,Single phase,2,1999,8918246
Mullaitivu,Mullaitivu Central,10,4,3,52,2,TRUE,TRUE,Both,Three phase,1,1992,7481191
Badulla,Bandarawela,11,5,5,128,1,FALSE,FALSE,Pipe-borne,Single phase,2,1993,11031451
Galle,Karapitiya,12,5,4,153,0,FALSE,FALSE,Well,Three phase,1,2014,21460789
Kilinochchi,Kilinochchi Central,7,4,3,67,1,TRUE,TRUE,Both,Three phase,2,2007,4567926
Matale,Matale Central,4,1,1,35,0,FALSE,TRUE,Well,Three phase,2,2022,4645349
Vavuniya,Vavuniya Central,9,3,2,117,1,FALSE,TRUE,Pipe-borne,Single phase,1,2007,10595050
Puttalam,Puttalam Central,18,5,4,188,3,TRUE,FALSE,Both,Three phase,2,2023,26138779
Kandy,Gatambe,34,7,5,250,1,FALSE,TRUE,Pipe-borne,Single phase,2,2016,65289531
Batticaloa,Batticaloa Town,28,5,4,250,2,FALSE,TRUE,Well,Three phase,3,2014,37373947
Matara,Nupe,8,5,4,130,0,FALSE,FALSE,Both,Single phase,1,1996,11462020
Jaffna,Chunnakam,14,5,5,107,1,TRUE,FALSE,Well,Single phase,1,2004,15933271
Polonnaruwa,Polonnaruwa Central,2,1,1,35,2,FALSE,TRUE,Well,Three phase,2,2012,2514329
Ratnapura,Pelmadulla,6,4,3,35,0,TRUE,FALSE,Well,Single phase,2,1999,5098111
Hambantota,Hambantota Town,10,2,2,103,0,TRUE,TRUE,Well,Single phase,1,1999,9677437
Kegalle,Kegalle Central,14,7,5,163,3,TRUE,FALSE,Both,Three phase,2,1992,15541915
Puttalam,Puttalam Central,9,4,3,103,1,FALSE,FALSE,Both,Three phase,1,1988,10783423
Batticaloa,Kallady,2,1,1,44,0,TRUE,TRUE,Both,Three phase,1,2012,3273502
Puttalam,Puttalam Central,3,2,1,35,0,TRUE,TRUE,Well,Three phase,2,1993,4932856
Batticaloa,Kallady,11,3,2,172,2,FALSE,TRUE,Pipe-borne,Single phase,2,2009,20120211
Kalutara,Beruwala,12,5,4,121,1,FALSE,FALSE,Both,Single phase,1,2008,18119380
Puttalam,Puttalam Central,16,7,5,176,3,TRUE,TRUE,Pipe-borne,Single phase,2,1995,17220510
Batticaloa,Kallady,42,6,5,250,2,TRUE,TRUE,Pipe-borne,Single phase,2,1992,46612684
Polonnaruwa,Polonnaruwa Central,4,2,1,35,1,FALSE,TRUE,Both,Three phase,2,2005,3910656
Trincomalee,China Bay,11,4,3,132,0,FALSE,FALSE,Pipe-borne,Three phase,1,1998,15230289
Vavuniya,Vavuniya Central,21,6,5,250,2,TRUE,FALSE,Both,Single phase,2,2004,27479267
